,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-08-03 14:40:14,2025-08-03 13:52:03,1874,1293.0,1003,61.0,690.0,123.0,444.0,15663,2025-08-01 21:29:54,2.11.0,54.0,5021.0,5021.0,89.0,33,True,1,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-08-01 15:55:11,2025-08-01 15:55:11,331,146.0,1796,193.0,403.0,124.0,211.0,20054,2025-08-01 14:43:06,0.10.0,16.0,4.0,4.0,68.0,30,True,1,51738.0,12934.0
2,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-08-01 16:00:59,2025-08-01 10:51:54,19584,311.0,5625,427.0,6560.0,41.0,4241.0,35028,2025-07-29 11:39:55,25.7.4.0,100.0,,,877.0,28,True,1,,
3,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-07-25 14:14:24,2025-07-25 14:14:23,3992,41.0,1156,86.0,826.0,178.0,801.0,15383,2025-03-28 17:12:29,0.2.74,100.0,,,78.0,28,True,1,15634.0,1202.0
4,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-07-31 14:27:08,2025-07-31 14:26:11,210,77.0,163,16.0,71.0,16.0,70.0,2288,2025-07-31 14:27:13,3.13.0,100.0,1163.0,1163.0,32.0,26,True,1,,
5,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-08-03 06:58:40,2025-08-03 06:58:39,316,185.0,1210,80.0,130.0,66.0,304.0,23835,2025-06-13 11:30:39,1.0.14,10.0,,,68.0,24,True,1,,
6,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-08-02 01:35:31,2025-08-02 01:19:03,289,142.0,1185,73.0,409.0,28.0,385.0,16144,2025-07-26 01:35:06,0.0.32,24.0,,,35.0,24,True,1,,
7,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-08-04 05:47:35,2025-08-02 08:04:46,672,283.0,626,62.0,889.0,65.0,102.0,8744,2025-07-25 00:58:46,0.10.0,16.0,,,45.0,24,True,1,,
8,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-08-03 21:00:19,2025-08-03 13:53:43,1229,838.0,480,36.0,154.0,45.0,171.0,7054,2025-07-21 22:09:07,0.1.3,2.0,,,32.0,24,True,1,36.0,12.0
9,grafana/mcp-grafana,grafana/mcp-grafana,"Search dashboards, investigate incidents and query datasources in your Grafana instance.","['cloud', 'local', 'official', 'python']",monitoring,https://github.com/grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,Apache-2.0,2024-12-24 15:44:23,2025-08-01 19:40:09,2025-07-30 10:02:47,252,56.0,111,111.0,149.0,28.0,52.0,1321,2025-07-23 13:20:05,0.6.2,17.0,1.0,1.0,26.0,24,True,1,12281.0,1754.0
10,sooperset/mcp-atlassian,sooperset/mcp-atlassian,"MCP server for Atlassian products (Confluence and Jira). Supports Confluence Cloud, Jira Cloud, and Jira Server/Data..","['cloud', 'python']",support-and-service-management,https://github.com/sooperset/mcp-atlassian,https://github.com/sooperset/mcp-atlassian,MIT,2024-12-03 09:25:20,2025-06-30 11:32:08,2025-06-30 11:31:36,325,90.0,468,13.0,340.0,67.0,173.0,2665,2025-06-29 14:00:36,0.11.9,49.0,4.0,4.0,47.0,23,True,1,,
11,dagger/container-use,dagger/container-use,"Containerized environments for coding agents. Multiple agents can work independently, isolated in fresh containers and..","['go', 'linux', 'local', 'macos', 'windows']",code-execution,https://github.com/dagger/container-use,https://github.com/dagger/container-use,Apache-2.0,2025-05-23 23:18:43,2025-08-01 18:37:24,2025-08-01 17:01:01,293,293.0,134,9.0,197.0,32.0,31.0,2661,2025-08-01 18:37:17,0.4.1,13.0,,,27.0,23,True,1,6851.0,3425.0
12,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-08-04 02:17:23,2025-08-03 15:20:40,646,437.0,669,51.0,726.0,139.0,134.0,5170,2025-08-01 01:36:30,2025.07.20250731231632,100.0,4.0,4.0,128.0,22,True,1,,
13,cloudflare/mcp-server-cloudflare,cloudflare/mcp-server-cloudflare,"Integration with Cloudflare services including Workers, KV, R2, and D1.","['cloud', 'official', 'typescript']",cloud-platforms,https://github.com/cloudflare/mcp-server-cloudflare,https://github.com/cloudflare/mcp-server-cloudflare,Apache-2.0,2024-11-27 22:07:30,2025-07-22 21:38:33,2025-07-22 21:38:03,291,55.0,230,28.0,168.0,14.0,28.0,2799,2025-07-22 21:38:33,dex-analysis@0.1.6,100.0,8.0,8.0,28.0,22,True,1,,
14,Flux159/mcp-server-kubernetes,Flux159/mcp-server-kubernetes,"Typescript implementation of Kubernetes cluster operations for pods, deployments, services.","['cloud', 'local', 'typescript']",cloud-platforms,https://github.com/Flux159/mcp-server-kubernetes,https://github.com/Flux159/mcp-server-kubernetes,MIT,2024-12-08 00:01:28,2025-08-02 01:05:30,2025-08-02 01:05:29,585,284.0,151,9.0,134.0,9.0,48.0,941,2025-08-02 00:59:13,2.7.0,43.0,7.0,7.0,25.0,22,True,1,40.0,8.0
15,weibaohui/k8m,weibaohui/k8m,"Provides MCP multi-cluster Kubernetes management and operations, featuring a management interface, logging, and nearly..","['cloud', 'go', 'local']",cloud-platforms,https://github.com/weibaohui/k8m,https://github.com/weibaohui/k8m,MIT,2024-10-11 01:39:31,2025-08-01 19:31:55,2025-08-01 19:31:42,3744,830.0,97,14.0,212.0,12.0,52.0,600,2025-07-25 14:41:18,0.0.147,100.0,,,13.0,22,True,1,1540.0,256.0
16,GLips/Figma-Context-MCP,GLips/Figma-Context-MCP,Provide coding agents direct access to Figma data to help them one-shot design implementation.,"['local', 'typescript']",developer-tools,https://github.com/GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,MIT,2025-02-13 02:55:06,2025-07-24 04:19:53,2025-07-18 04:24:27,133,46.0,765,56.0,84.0,19.0,102.0,9631,2025-07-18 03:42:53,0.5.0,8.0,,,19.0,21,True,1,,
17,wonderwhy-er/DesktopCommanderMCP,wonderwhy-er/DesktopCommanderMCP,A swiss-army-knife that can manage/execute programs and read/write/search/edit code and text files.,"['linux', 'local', 'macos', 'typescript', 'windows']",command-line,https://github.com/wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,MIT,2024-12-04 08:26:08,2025-07-23 19:56:19,2025-07-23 09:23:03,320,51.0,446,43.0,88.0,51.0,45.0,4097,2025-07-23 09:38:14,0.2.7,17.0,,,16.0,21,True,1,,
18,Azure/azure-mcp,Azure/azure-mcp,"Official Microsoft MCP server for Azure services including Storage, Cosmos DB, and Azure Monitor.",[],other-tools-and-integrations,https://github.com/Azure/azure-mcp,https://github.com/Azure/azure-mcp,MIT,2025-04-16 14:54:24,2025-08-04 02:08:10,2025-08-01 21:08:42,384,322.0,298,39.0,512.0,149.0,155.0,1065,,,32.0,2.0,2.0,57.0,21,True,1,209.0,52.0
19,supabase-community/supabase-mcp,supabase-community/supabase-mcp,Official Supabase MCP server to connect AI assistants directly with your Supabase project and allows them to perform..,"['cloud', 'official', 'typescript']",databases,https://github.com/supabase-community/supabase-mcp,https://github.com/supabase-community/supabase-mcp,Apache-2.0,2024-12-20 23:52:42,2025-08-01 00:56:55,2025-07-11 14:03:11,248,86.0,178,23.0,66.0,41.0,14.0,1895,2025-06-20 20:58:50,0.4.5,16.0,,,6.0,20,True,1,,
20,julien040/anyquery,julien040/anyquery,"Query more than 40 apps with one binary using SQL. It can also connect to your PostgreSQL, MySQL, or SQLite compatible..","['cloud', 'go', 'local']",aggregators,https://github.com/julien040/anyquery,https://github.com/julien040/anyquery,,2024-04-06 17:17:25,2025-07-18 16:31:53,2025-07-12 13:08:33,366,21.0,67,8.0,9.0,7.0,21.0,1218,2025-06-10 11:48:32,0.4.2,11.0,41.0,41.0,5.0,20,True,2,8195.0,682.0
21,containers/kubernetes-mcp-server,containers/kubernetes-mcp-server,A - powerful Kubernetes MCP server with additional support for OpenShift. Besides providing CRUD operations for any..,"['go', 'local']",cloud-platforms,https://github.com/containers/kubernetes-mcp-server,https://github.com/containers/kubernetes-mcp-server,Apache-2.0,2025-02-11 02:57:36,2025-08-04 04:04:31,2025-08-04 04:04:28,276,135.0,76,5.0,187.0,15.0,35.0,439,2025-07-31 13:49:44,0.0.47,47.0,,,13.0,20,True,2,1508.0,251.0
22,Canner/wren-engine,Canner/wren-engine,The Semantic Engine for Model Context Protocol(MCP) Clients and AI Agents.,"['local', 'python', 'rust']",databases,https://github.com/Canner/wren-engine,https://github.com/Canner/wren-engine,Apache-2.0,2022-05-09 07:07:45,2025-07-31 04:51:40,2025-07-31 04:51:26,1075,88.0,106,14.0,982.0,39.0,253.0,396,2025-07-31 04:51:40,0.18.2,72.0,,,21.0,20,True,1,118.0,4.0
23,aymericzip/intlayer,aymericzip/intlayer,"A MCP Server that enhance your IDE with AI-powered assistance for Intlayer i18n / CMS tool: smart CLI access, access..","['cloud', 'local', 'typescript']",command-line,https://github.com/aymericzip/intlayer,https://github.com/aymericzip/intlayer,Apache-2.0,2024-03-24 20:14:24,2025-08-02 09:40:58,2025-08-02 09:39:16,2587,692.0,35,2.0,118.0,28.0,21.0,229,2024-08-07 00:31:20,cli-example@1.1.12,100.0,44.0,44.0,10.0,20,True,2,,
24,LaurieWired/GhidraMCP,LaurieWired/GhidraMCP,A Model Context Protocol server for Ghidra that enables LLMs to autonomously reverse engineer applications. Provides..,"['java', 'local']",security,https://github.com/LaurieWired/GhidraMCP,https://github.com/LaurieWired/GhidraMCP,Apache-2.0,2025-03-23 05:36:55,2025-06-23 04:18:18,2025-06-23 04:09:41,61,3.0,392,53.0,29.0,20.0,27.0,5518,2025-06-23 04:18:18,1.4,5.0,,,10.0,19,True,1,10538.0,2107.0
25,antvis/mcp-server-chart,antvis/mcp-server-chart,A Model Context Protocol server for generating visual charts using AntV.,"['cloud', 'official', 'typescript']",customer-data-platforms,https://github.com/antvis/mcp-server-chart,https://github.com/antvis/mcp-server-chart,MIT,2025-04-25 09:10:06,2025-08-02 09:52:26,2025-08-02 09:52:25,64,49.0,207,15.0,68.0,17.0,75.0,2269,2025-07-25 07:34:13,0.8.0,11.0,6.0,6.0,11.0,19,True,1,,
26,metatool-ai/metamcp,metatool-ai/metamcp,MetaMCP is the one unified middleware MCP server that manages your MCP connections with GUI.,"['cloud', 'linux', 'local', 'macos', 'typescript', 'windows']",aggregators,https://github.com/metatool-ai/metamcp,https://github.com/metatool-ai/metamcp,MIT,2025-01-22 11:58:52,2025-08-03 13:59:20,2025-07-29 15:27:38,528,295.0,133,12.0,52.0,11.0,59.0,981,2025-07-29 04:59:10,2.3.8,21.0,,,7.0,19,True,2,,
