,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-08-18 01:19:32,2025-08-16 20:28:15,1947,1150.0,1072,66.0,777.0,139.0,492.0,16356,2025-08-11 21:38:31,2.11.3,57.0,5317.0,5317.0,96.0,33,True,1,,,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-08-15 15:53:51,2025-08-14 15:41:20,349,140.0,2070,220.0,449.0,140.0,232.0,21161,2025-08-15 12:38:05,0.12.1,19.0,4.0,4.0,75.0,30,True,1,64245.0,16061.0,,
2,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-08-17 10:15:15,2025-08-15 15:18:59,19617,310.0,5676,427.0,6601.0,51.0,4245.0,35302,2025-07-29 11:39:55,25.7.4.0,100.0,,,877.0,28,True,1,,,,
3,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-08-13 16:12:05,2025-08-13 16:12:05,3995,32.0,1184,90.0,828.0,178.0,806.0,15440,2025-03-28 17:12:29,0.2.74,100.0,,,80.0,28,True,1,15938.0,1226.0,,
4,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-08-15 12:01:04,2025-08-15 11:59:53,1327,912.0,624,43.0,198.0,42.0,212.0,9069,2025-08-15 12:01:05,0.1.4,3.0,,,50.0,27,True,1,100.0,33.0,1.0,
5,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-08-17 18:55:55,2025-08-17 18:54:56,217,66.0,180,16.0,74.0,18.0,71.0,2388,2025-08-17 18:56:00,3.14.5,100.0,1171.0,1171.0,34.0,26,True,1,,,,
6,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-08-17 02:39:49,2025-08-17 02:39:49,332,148.0,1289,72.0,469.0,36.0,405.0,17255,2025-08-16 00:39:42,0.0.34,26.0,,,38.0,25,True,1,190.0,38.0,1.0,
7,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-08-14 11:23:00,2025-08-14 11:23:00,329,175.0,1322,86.0,135.0,67.0,353.0,26094,2025-06-13 11:30:39,1.0.14,10.0,,,71.0,24,True,1,,,,
8,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-08-17 14:13:38,2025-08-15 17:28:59,740,316.0,684,58.0,987.0,67.0,115.0,9332,2025-08-14 23:41:38,0.12.0,18.0,,,49.0,24,True,1,,,,
9,dagger/container-use,dagger/container-use,"Containerized environments for coding agents. Multiple agents can work independently, isolated in fresh containers and..","['go', 'linux', 'local', 'macos', 'windows']",code-execution,https://github.com/dagger/container-use,https://github.com/dagger/container-use,Apache-2.0,2025-05-23 23:18:43,2025-08-15 19:21:34,2025-08-15 19:21:34,304,304.0,149,10.0,209.0,34.0,37.0,2800,2025-08-01 18:37:17,0.4.1,13.0,,,28.0,24,True,1,8441.0,4220.0,,
10,grafana/mcp-grafana,grafana/mcp-grafana,"Search dashboards, investigate incidents and query datasources in your Grafana instance.","['cloud', 'local', 'official', 'python']",monitoring,https://github.com/grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,Apache-2.0,2024-12-24 15:44:23,2025-08-12 04:13:48,2025-08-12 04:13:45,262,53.0,124,111.0,160.0,28.0,63.0,1418,2025-07-23 13:20:05,0.6.2,17.0,1.0,1.0,28.0,24,True,1,14490.0,2070.0,,
11,sooperset/mcp-atlassian,sooperset/mcp-atlassian,"MCP server for Atlassian products (Confluence and Jira). Supports Confluence Cloud, Jira Cloud, and Jira Server/Data..","['cloud', 'python']",support-and-service-management,https://github.com/sooperset/mcp-atlassian,https://github.com/sooperset/mcp-atlassian,MIT,2024-12-03 09:25:20,2025-06-30 11:32:08,2025-06-30 11:31:36,325,62.0,501,14.0,341.0,71.0,174.0,2831,2025-06-29 14:00:36,0.11.9,49.0,4.0,4.0,48.0,23,True,1,,,,
12,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-08-18 02:11:51,2025-08-14 16:51:22,677,397.0,718,54.0,812.0,150.0,146.0,5393,2025-08-13 19:53:40,2025.08.20250813183540,100.0,4.0,4.0,133.0,22,True,1,,,,
