,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-10-05 18:03:13,2025-10-05 14:20:13,2210.0,482.0,1324.0,76.0,1009.0,181.0,654.0,18611.0,2025-09-26 16:43:10,2.12.4,63.0,6449.0,6449.0,122.0,33,True,1.0,,,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-10-03 15:35:58,2025-10-02 07:20:43,400.0,93.0,2611.0,259.0,566.0,167.0,315.0,23273.0,2025-10-02 14:30:13,0.17.1,25.0,4.0,4.0,82.0,31,True,1.0,116314.0,19385.0,,
2,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-10-03 21:00:36,2025-10-03 21:00:36,394.0,177.0,1649.0,83.0,550.0,23.0,538.0,21252.0,2025-10-01 22:54:19,0.0.41,33.0,,,50.0,28,True,1.0,12111.0,1730.0,,
3,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-10-05 15:02:23,2025-10-03 03:42:30,19683.0,177.0,5808.0,427.0,6784.0,48.0,4292.0,36254.0,2025-09-05 00:24:40,25.9.1.2,100.0,,,878.0,27,True,1.0,,,,
4,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-10-01 20:25:07,2025-10-01 20:24:54,1421.0,388.0,920.0,58.0,252.0,66.0,280.0,13737.0,2025-08-15 12:01:05,0.1.4,3.0,,,69.0,27,True,1.0,314.0,62.0,,
5,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-09-01 20:21:42,2025-09-01 20:21:42,3996.0,5.0,1210.0,91.0,839.0,191.0,839.0,15727.0,2025-03-28 17:12:29,0.2.74,100.0,,,82.0,26,True,1.0,17451.0,1163.0,,
6,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-10-03 23:53:28,2025-10-03 23:52:37,827.0,324.0,921.0,61.0,1046.0,180.0,198.0,6591.0,2025-10-02 03:57:29,2025.10.20251002031219,100.0,4.0,4.0,166.0,26,True,1.0,,,1.0,
7,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-10-02 03:53:40,2025-10-02 03:52:38,225.0,24.0,208.0,21.0,86.0,27.0,71.0,2596.0,2025-10-02 03:53:47,3.19.0,100.0,1225.0,1225.0,41.0,26,True,1.0,,,,
8,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-10-02 07:03:44,2025-10-02 07:03:43,442.0,179.0,1617.0,90.0,175.0,71.0,494.0,32625.0,2025-09-27 15:24:46,1.0.20,16.0,,,84.0,25,True,1.0,,,,
9,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-10-05 07:10:33,2025-10-03 23:29:36,1001.0,448.0,881.0,70.0,1354.0,94.0,176.0,10814.0,2025-09-26 01:05:24,0.16.0,22.0,,,64.0,25,True,1.0,,,,
